code	full-ja	full-ja-hira	full-en	base-ja	base-ja-hira	base-en	type	pref
01100	札幌市	さっぽろし	Sapporo City	札幌	さっぽろ	Sapporo	21	01
01200	市部	しぶ	City Area				23	01
01300	石狩振興局	いしかりしんこうきょく	Ishikari Subprefectural Bureau	石狩	いしかり	Ishikari	26	01
01330	渡島総合振興局	おしまそうごうしんこうきょく	Oshima General Subprefectural Bureau	渡島	おしま	Oshima	25	01
01360	檜山振興局	ひやましんこうきょく	Hiyama Subprefectural Bureau	檜山	ひやま	Hiyama	26	01
01390	後志総合振興局	しりべしそうごうしんこうきょく	Shiribeshi General Subprefectural Bureau	後志	しりべし	Shiribeshi	25	01
01420	空知総合振興局	そらちそうごうしんこうきょく	Sorachi General Subprefectural Bureau	空知	そらち	Sorachi	25	01
01450	上川総合振興局	かみかわそうごうしんこうきょく	Kamikawa General Subprefectural Bureau	上川	かみかわ	Kamikawa	25	01
01480	留萌振興局	るもいしんこうきょく	Rumoi Subprefectural Bureau	留萌	るもい	Rumoi	26	01
01510	宗谷総合振興局	そうやそうごうしんこうきょく	Soya General Subprefectural Bureau	宗谷	そうや	Soya	25	01
01540	オホーツク総合振興局	おほーつくそうごうしんこうきょく	Okhotsk General Subprefectural Bureau	オホーツク	おほーつく	Okhotsk	25	01
01570	胆振総合振興局	いぶりそうごうしんこうきょく	Iburi General Subprefectural Bureau	胆振	いぶり	Iburi	25	01
01600	日高振興局	ひだかしんこうきょく	Hidaka Subprefectural Bureau	日高	ひだか	Hidaka	26	01
01630	十勝総合振興局	とかちそうごうしんこうきょく	Tokachi General Subprefectural Bureau	十勝	とかち	Tokachi	25	01
01660	釧路総合振興局	くしろそうごうしんこうきょく	Kushiro General Subprefectural Bureau	釧路	くしろ	Kushiro	25	01
01690	根室振興局	ねむろしんこうきょく	Nemuro Subprefectural Bureau	根室	ねむろ	Nemuro	26	01
01802	石狩郡	いしかりぐん	Ishikari County	石狩	いしかり	Ishikari	24	01
01806	松前郡	まつまえぐん	Matsumae County	松前	まつまえ	Matsumae	24	01
01807	上磯郡	かみいそぐん	Kamiiso County	上磯	かみいそ	Kamiiso	24	01
01808	亀田郡	かめだぐん	Kameda County	亀田	かめだ	Kameda	24	01
01809	茅部郡	かやべぐん	Kayabe County	茅部	かやべ	Kayabe	24	01
01810	二海郡	ふたみぐん	Futami County	二海	ふたみ	Futami	24	01
01811	山越郡	やまこしぐん	Yamakoshi County	山越	やまこし	Yamakoshi	24	01
01812	檜山郡	ひやまぐん	Hiyama County	檜山	ひやま	Hiyama	24	01
01813	爾志郡	にしぐん	Nishi County	爾志	にし	Nishi	24	01
01814	久遠郡	くどうぐん	Kudo County	久遠	くどう	Kudo	24	01
01815	奥尻郡	おくしりぐん	Okushiri County	奥尻	おくしり	Okushiri	24	01
01816	瀬棚郡	せたなぐん	Setana County	瀬棚	せたな	Setana	24	01
01817	島牧郡	しままきぐん	Shimamaki County	島牧	しままき	Shimamaki	24	01
01818	寿都郡	すっつぐん	Suttsu County	寿都	すっつ	Suttsu	24	01
01819	磯谷郡	いそやぐん	Isoya County	磯谷	いそや	Isoya	24	01
01820	虻田郡	あぶたぐん	Abuta County	虻田	あぶた	Abuta	24	01
01821	岩内郡	いわないぐん	Iwanai County	岩内	いわない	Iwanai	24	01
01822	古宇郡	ふるうぐん	Furuu County	古宇	ふるう	Furuu	24	01
01823	積丹郡	しゃこたんぐん	Shakotan County	積丹	しゃこたん	Shakotan	24	01
01824	古平郡	ふるびらぐん	Furubira County	古平	ふるびら	Furubira	24	01
01825	余市郡	よいちぐん	Yoichi County	余市	よいち	Yoichi	24	01
01826	空知郡	そらちぐん	Sorachi County	空知	そらち	Sorachi	24	01
01827	夕張郡	ゆうばりぐん	Yubari County	夕張	ゆうばり	Yubari	24	01
01828	樺戸郡	かばとぐん	Kabato County	樺戸	かばと	Kabato	24	01
01829	雨竜郡	うりゅうぐん	Uryu County	雨竜	うりゅう	Uryu	24	01
01830	上川郡	かみかわぐん	Kamikawa County	上川	かみかわ	Kamikawa	24	01
01831	勇払郡	ゆうふつぐん	Yufutsu County	勇払	ゆうふつ	Yufutsu	24	01
01832	上川郡	かみかわぐん	Kamikawa County	上川	かみかわ	Kamikawa	24	01
01833	中川郡	なかがわぐん	Nakagawa County	中川	なかがわ	Nakagawa	24	01
01834	増毛郡	ましけぐん	Mashike County	増毛	ましけ	Mashike	24	01
01835	留萌郡	るもいぐん	Rumoi County	留萌	るもい	Rumoi	24	01
01836	苫前郡	とままえぐん	Tomamae County	苫前	とままえ	Tomamae	24	01
01837	天塩郡	てしおぐん	Teshio County	天塩	てしお	Teshio	24	01
01838	宗谷郡	そうやぐん	Soya County	宗谷	そうや	Soya	24	01
01839	枝幸郡	えさしぐん	Esashi County	枝幸	えさし	Esashi	24	01
01840	礼文郡	れぶんぐん	Rebun County	礼文	れぶん	Rebun	24	01
01841	利尻郡	りしりぐん	Rishiri County	利尻	りしり	Rishiri	24	01
01842	網走郡	あばしりぐん	Abashiri County	網走	あばしり	Abashiri	24	01
01843	斜里郡	しゃりぐん	Shari County	斜里	しゃり	Shari	24	01
01844	常呂郡	ところぐん	Tokoro County	常呂	ところ	Tokoro	24	01
01845	紋別郡	もんべつぐん	Monbetsu County	紋別	もんべつ	Monbetsu	24	01
01846	有珠郡	うすぐん	Usu County	有珠	うす	Usu	24	01
01848	白老郡	しらおいぐん	Shiraoi County	白老	しらおい	Shiraoi	24	01
01849	沙流郡	さるぐん	Saru County	沙流	さる	Saru	24	01
01850	新冠郡	にいかっぷぐん	Niikappu County	新冠	にいかっぷ	Niikappu	24	01
01853	浦河郡	うらかわぐん	Urakawa County	浦河	うらかわ	Urakawa	24	01
01854	様似郡	さまにぐん	Samani County	様似	さまに	Samani	24	01
01855	幌泉郡	ほろいずみぐん	Horoizumi County	幌泉	ほろいずみ	Horoizumi	24	01
01856	河東郡	かとうぐん	Kato County	河東	かとう	Kato	24	01
01857	上川郡	かみかわぐん	Kamikawa County	上川	かみかわ	Kamikawa	24	01
01858	河西郡	かさいぐん	Kasai County	河西	かさい	Kasai	24	01
01859	広尾郡	ひろおぐん	Hiroo County	広尾	ひろお	Hiroo	24	01
01860	中川郡	なかがわぐん	Nakagawa County	中川	なかがわ	Nakagawa	24	01
01861	足寄郡	あしょろぐん	Ashoro County	足寄	あしょろ	Ashoro	24	01
01862	十勝郡	とかちぐん	Tokachi County	十勝	とかち	Tokachi	24	01
01863	釧路郡	くしろぐん	Kushiro County	釧路	くしろ	Kushiro	24	01
01864	厚岸郡	あっけしぐん	Akkeshi County	厚岸	あっけし	Akkeshi	24	01
01865	川上郡	かわかみぐん	Kawakami County	川上	かわかみ	Kawakami	24	01
01866	阿寒郡	あかんぐん	Akan County	阿寒	あかん	Akan	24	01
01867	白糠郡	しらぬかぐん	Shiranuka County	白糠	しらぬか	Shiranuka	24	01
01868	野付郡	のつけぐん	Notsuke County	野付	のつけ	Notsuke	24	01
01869	標津郡	しべつぐん	Shibetsu County	標津	しべつ	Shibetsu	24	01
01870	目梨郡	めなしぐん	Menashi County	目梨	めなし	Menashi	24	01
01871	色丹郡	しこたんぐん	Shikotan County	色丹	しこたん	Shikotan	24	01
01872	国後郡	くなしりぐん	Kunashiri County	国後	くなしり	Kunashiri	24	01
01873	択捉郡	えとろふぐん	Etorofu County	択捉	えとろふ	Etorofu	24	01
01874	紗那郡	しゃなぐん	Shana County	紗那	しゃな	Shana	24	01
01875	蘂取郡	しべとろぐん	Shibetoro County	蘂取	しべとろ	Shibetoro	24	01
01876	日高郡	ひだかぐん	Hidaka County	日高	ひだか	Hidaka	24	01
02200	市部	しぶ	City Area				23	02
02300	東津軽郡	ひがしつがるぐん	Higashitsugaru County	東津軽	ひがしつがる	Higashitsugaru	24	02
02320	西津軽郡	にしつがるぐん	Nishitsugaru County	西津軽	にしつがる	Nishitsugaru	24	02
02340	中津軽郡	なかつがるぐん	Nakatsugaru County	中津軽	なかつがる	Nakatsugaru	24	02
02360	南津軽郡	みなみつがるぐん	Minamitsugaru County	南津軽	みなみつがる	Minamitsugaru	24	02
02380	北津軽郡	きたつがるぐん	Kitatsugaru County	北津軽	きたつがる	Kitatsugaru	24	02
02400	上北郡	かみきたぐん	Kamikita County	上北	かみきた	Kamikita	24	02
02420	下北郡	しもきたぐん	Shimokita County	下北	しもきた	Shimokita	24	02
02440	三戸郡	さんのへぐん	Sannohe County	三戸	さんのへ	Sannohe	24	02
03200	市部	しぶ	City Area				23	03
03300	岩手郡	いわてぐん	Iwate County	岩手	いわて	Iwate	24	03
03320	紫波郡	しわぐん	Shiwa County	紫波	しわ	Shiwa	24	03
03360	和賀郡	わがぐん	Waga County	和賀	わが	Waga	24	03
03380	胆沢郡	いさわぐん	Isawa County	胆沢	いさわ	Isawa	24	03
03400	西磐井郡	にしいわいぐん	Nishiiwai County	西磐井	にしいわい	Nishiiwai	24	03
03440	気仙郡	けせんぐん	Kesen County	気仙	けせん	Kesen	24	03
03460	上閉伊郡	かみへいぐん	Kamihei County	上閉伊	かみへい	Kamihei	24	03
03480	下閉伊郡	しもへいぐん	Shimohei County	下閉伊	しもへい	Shimohei	24	03
03500	九戸郡	くのへぐん	Kunohe County	九戸	くのへ	Kunohe	24	03
03520	二戸郡	にのへぐん	Ninohe County	二戸	にのへ	Ninohe	24	03
04100	仙台市	せんだいし	Sendai City	仙台	せんだい	Sendai	21	04
04200	市部	しぶ	City Area				23	04
04300	刈田郡	かったぐん	Katta County	刈田	かった	Katta	24	04
04320	柴田郡	しばたぐん	Shibata County	柴田	しばた	Shibata	24	04
04340	伊具郡	いぐぐん	Igu County	伊具	いぐ	Igu	24	04
04360	亘理郡	わたりぐん	Watari County	亘理	わたり	Watari	24	04
04400	宮城郡	みやぎぐん	Miyagi County	宮城	みやぎ	Miyagi	24	04
04420	黒川郡	くろかわぐん	Kurokawa County	黒川	くろかわ	Kurokawa	24	04
04440	加美郡	かみぐん	Kami County	加美	かみ	Kami	24	04
04500	遠田郡	とおだぐん	Toda County	遠田	とおだ	Toda	24	04
04580	牡鹿郡	おしかぐん	Oshika County	牡鹿	おしか	Oshika	24	04
04600	本吉郡	もとよしぐん	Motoyoshi County	本吉	もとよし	Motoyoshi	24	04
05200	市部	しぶ	City Area				23	05
05300	鹿角郡	かづのぐん	Kazuno County	鹿角	かづの	Kazuno	24	05
05320	北秋田郡	きたあきたぐん	Kitaakita County	北秋田	きたあきた	Kitaakita	24	05
05340	山本郡	やまもとぐん	Yamamoto County	山本	やまもと	Yamamoto	24	05
05360	南秋田郡	みなみあきたぐん	Minamiakita County	南秋田	みなみあきた	Minamiakita	24	05
05420	仙北郡	せんぼくぐん	Senboku County	仙北	せんぼく	Senboku	24	05
05460	雄勝郡	おがちぐん	Ogachi County	雄勝	おがち	Ogachi	24	05
06200	市部	しぶ	City Area				23	06
06300	東村山郡	ひがしむらやまぐん	Higashimurayama County	東村山	ひがしむらやま	Higashimurayama	24	06
06320	西村山郡	にしむらやまぐん	Nishimurayama County	西村山	にしむらやま	Nishimurayama	24	06
06340	北村山郡	きたむらやまぐん	Kitamurayama County	北村山	きたむらやま	Kitamurayama	24	06
06360	最上郡	もがみぐん	Mogami County	最上	もがみ	Mogami	24	06
06380	東置賜郡	ひがしおきたまぐん	Higashiokitama County	東置賜	ひがしおきたま	Higashiokitama	24	06
06400	西置賜郡	にしおきたまぐん	Nishiokitama County	西置賜	にしおきたま	Nishiokitama	24	06
06420	東田川郡	ひがしたがわぐん	Higashitagawa County	東田川	ひがしたがわ	Higashitagawa	24	06
06460	飽海郡	あくみぐん	Akumi County	飽海	あくみ	Akumi	24	06
07200	市部	しぶ	City Area				23	07
07300	伊達郡	だてぐん	Date County	伊達	だて	Date	24	07
07320	安達郡	あだちぐん	Adachi County	安達	あだち	Adachi	24	07
07340	岩瀬郡	いわせぐん	Iwase County	岩瀬	いわせ	Iwase	24	07
07360	南会津郡	みなみあいづぐん	Minamiaizu County	南会津	みなみあいづ	Minamiaizu	24	07
07400	耶麻郡	やまぐん	Yama County	耶麻	やま	Yama	24	07
07420	河沼郡	かわぬまぐん	Kawanuma County	河沼	かわぬま	Kawanuma	24	07
07440	大沼郡	おおぬまぐん	Onuma County	大沼	おおぬま	Onuma	24	07
07460	西白河郡	にししらかわぐん	Nishishirakawa County	西白河	にししらかわ	Nishishirakawa	24	07
07480	東白川郡	ひがししらかわぐん	Higashishirakawa County	東白川	ひがししらかわ	Higashishirakawa	24	07
07500	石川郡	いしかわぐん	Ishikawa County	石川	いしかわ	Ishikawa	24	07
07520	田村郡	たむらぐん	Tamura County	田村	たむら	Tamura	24	07
07540	双葉郡	ふたばぐん	Futaba County	双葉	ふたば	Futaba	24	07
07560	相馬郡	そうまぐん	Soma County	相馬	そうま	Soma	24	07
08200	市部	しぶ	City Area				23	08
08300	東茨城郡	ひがしいばらきぐん	Higashiibaraki County	東茨城	ひがしいばらき	Higashiibaraki	24	08
08340	那珂郡	なかぐん	Naka County	那珂	なか	Naka	24	08
08360	久慈郡	くじぐん	Kuji County	久慈	くじ	Kuji	24	08
08440	稲敷郡	いなしきぐん	Inashiki County	稲敷	いなしき	Inashiki	24	08
08520	結城郡	ゆうきぐん	Yuki County	結城	ゆうき	Yuki	24	08
08540	猿島郡	さしまぐん	Sashima County	猿島	さしま	Sashima	24	08
08560	北相馬郡	きたそうまぐん	Kitasoma County	北相馬	きたそうま	Kitasoma	24	08
09200	市部	しぶ	City Area				23	09
09300	河内郡	かわちぐん	Kawachi County	河内	かわち	Kawachi	24	09
09340	芳賀郡	はがぐん	Haga County	芳賀	はが	Haga	24	09
09360	下都賀郡	しもつがぐん	Shimotsuga County	下都賀	しもつが	Shimotsuga	24	09
09380	塩谷郡	しおやぐん	Shioya County	塩谷	しおや	Shioya	24	09
09400	那須郡	なすぐん	Nasu County	那須	なす	Nasu	24	09
10200	市部	しぶ	City Area				23	10
10340	北群馬郡	きたぐんまぐん	Kitagunma County	北群馬	きたぐんま	Kitagunma	24	10
10360	多野郡	たのぐん	Tano County	多野	たの	Tano	24	10
10380	甘楽郡	かんらぐん	Kanra County	甘楽	かんら	Kanra	24	10
10420	吾妻郡	あがつまぐん	Agatsuma County	吾妻	あがつま	Agatsuma	24	10
10440	利根郡	とねぐん	Tone County	利根	とね	Tone	24	10
10460	佐波郡	さわぐん	Sawa County	佐波	さわ	Sawa	24	10
10520	邑楽郡	おうらぐん	Ora County	邑楽	おうら	Ora	24	10
11100	さいたま市	さいたまし	Saitama City	さいたま	さいたま	Saitama	21	11
11200	市部	しぶ	City Area				23	11
11300	北足立郡	きたあだちぐん	Kitaadachi County	北足立	きたあだち	Kitaadachi	24	11
11320	入間郡	いるまぐん	Iruma County	入間	いるま	Iruma	24	11
11340	比企郡	ひきぐん	Hiki County	比企	ひき	Hiki	24	11
11360	秩父郡	ちちぶぐん	Chichibu County	秩父	ちちぶ	Chichibu	24	11
11380	児玉郡	こだまぐん	Kodama County	児玉	こだま	Kodama	24	11
11400	大里郡	おおさとぐん	Osato County	大里	おおさと	Osato	24	11
11440	南埼玉郡	みなみさいたまぐん	Minamisaitama County	南埼玉	みなみさいたま	Minamisaitama	24	11
11460	北葛飾郡	きたかつしかぐん	Kitakatsushika County	北葛飾	きたかつしか	Kitakatsushika	24	11
12100	千葉市	ちばし	Chiba City	千葉	ちば	Chiba	21	12
12200	市部	しぶ	City Area				23	12
12320	印旛郡	いんばぐん	Inba County	印旛	いんば	Inba	24	12
12340	香取郡	かとりぐん	Katori County	香取	かとり	Katori	24	12
12400	山武郡	さんぶぐん	Sanbu County	山武	さんぶ	Sanbu	24	12
12420	長生郡	ちょうせいぐん	Chosei County	長生	ちょうせい	Chosei	24	12
12440	夷隅郡	いすみぐん	Isumi County	夷隅	いすみ	Isumi	24	12
12460	安房郡	あわぐん	Awa County	安房	あわ	Awa	24	12
13100	特別区部	とくべつくぶ	Special Ward Area				22	13
13200	市部	しぶ	City Area				23	13
13300	西多摩郡	にしたまぐん	Nishitama County	西多摩	にしたま	Nishitama	24	13
13360	大島支庁	おおしましちょう	Oshima Branch Office	大島	おおしま	Oshima	27	13
13380	三宅支庁	みやけしちょう	Miyake Branch Office	三宅	みやけ	Miyake	27	13
13400	八丈支庁	はちじょうしちょう	Hachijo Branch Office	八丈	はちじょう	Hachijo	27	13
13420	小笠原支庁	おがさわらしちょう	Ogasawara Branch Office	小笠原	おがさわら	Ogasawara	27	13
14100	横浜市	よこはまし	Yokohama City	横浜	よこはま	Yokohama	21	14
14130	川崎市	かわさきし	Kawasaki City	川崎	かわさき	Kawasaki	21	14
14150	相模原市	さがみはらし	Sagamihara City	相模原	さがみはら	Sagamihara	21	14
14200	市部	しぶ	City Area				23	14
14300	三浦郡	みうらぐん	Miura County	三浦	みうら	Miura	24	14
14320	高座郡	こうざぐん	Koza County	高座	こうざ	Koza	24	14
14340	中郡	なかぐん	Naka County	中	なか	Naka	24	14
14360	足柄上郡	あしがらかみぐん	Ashigarakami County	足柄上	あしがらかみ	Ashigarakami	24	14
14380	足柄下郡	あしがらしもぐん	Ashigarashimo County	足柄下	あしがらしも	Ashigarashimo	24	14
14400	愛甲郡	あいこうぐん	Aiko County	愛甲	あいこう	Aiko	24	14
15100	新潟市	にいがたし	Niigata City	新潟	にいがた	Niigata	21	15
15200	市部	しぶ	City Area				23	15
15300	北蒲原郡	きたかんばらぐん	Kitakanbara County	北蒲原	きたかんばら	Kitakanbara	24	15
15340	西蒲原郡	にしかんばらぐん	Nishikanbara County	西蒲原	にしかんばら	Nishikanbara	24	15
15360	南蒲原郡	みなみかんばらぐん	Minamikanbara County	南蒲原	みなみかんばら	Minamikanbara	24	15
15380	東蒲原郡	ひがしかんばらぐん	Higashikanbara County	東蒲原	ひがしかんばら	Higashikanbara	24	15
15400	三島郡	さんとうぐん	Santo County	三島	さんとう	Santo	24	15
15460	南魚沼郡	みなみうおぬまぐん	Minamiuonuma County	南魚沼	みなみうおぬま	Minamiuonuma	24	15
15480	中魚沼郡	なかうおぬまぐん	Nakauonuma County	中魚沼	なかうおぬま	Nakauonuma	24	15
15500	刈羽郡	かりわぐん	Kariwa County	刈羽	かりわ	Kariwa	24	15
15580	岩船郡	いわふねぐん	Iwafune County	岩船	いわふね	Iwafune	24	15
16200	市部	しぶ	City Area				23	16
16320	中新川郡	なかにいかわぐん	Nakaniikawa County	中新川	なかにいかわ	Nakaniikawa	24	16
16340	下新川郡	しもにいかわぐん	Shimoniikawa County	下新川	しもにいかわ	Shimoniikawa	24	16
17200	市部	しぶ	City Area				23	17
17320	能美郡	のみぐん	Nomi County	能美	のみ	Nomi	24	17
